"filename", "language", "Markdown", "C++", "Properties", "C", "JSON", "Shell Script", "YAML", "Ini", "Python", "comment", "blank", "total"
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\Adafruit_NeoPixel_ZeroDMA.cpp", "C++", 0, 281, 0, 0, 0, 0, 0, 0, 0, 123, 38, 442
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\Adafruit_NeoPixel_ZeroDMA.h", "C++", 0, 31, 0, 0, 0, 0, 0, 0, 0, 16, 8, 55
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\README.md", "Markdown", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\bittable.h", "C++", 0, 261, 0, 0, 0, 0, 0, 0, 0, 2, 3, 266
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\examples\strandtest\strandtest.ino", "C++", 0, 31, 0, 0, 0, 0, 0, 0, 0, 33, 10, 74
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\extras\pinfinder.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 411, 128, 28, 567
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\library.properties", "Properties", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\pins.h", "C++", 0, 158, 0, 0, 0, 0, 0, 0, 0, 210, 37, 405
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\Adafruit_NeoPixel.cpp", "C++", 0, 2591, 0, 0, 0, 0, 0, 0, 0, 609, 275, 3475
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\Adafruit_NeoPixel.h", "C++", 0, 181, 0, 0, 0, 0, 0, 0, 0, 203, 29, 413
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\CONTRIBUTING.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\README.md", "Markdown", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 159
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\esp.c", "C", 0, 0, 0, 122, 0, 0, 0, 0, 0, 33, 24, 179
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\esp8266.c", "C", 0, 0, 0, 72, 0, 0, 0, 0, 0, 3, 12, 87
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\RGBWstrandtest\RGBWstrandtest.ino", "C++", 0, 108, 0, 0, 0, 0, 0, 0, 0, 39, 31, 178
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestArduinoBLECallback\StrandtestArduinoBLECallback.ino", "C++", 0, 136, 0, 0, 0, 0, 0, 0, 0, 76, 28, 240
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestArduinoBLE\StrandtestArduinoBLE.ino", "C++", 0, 130, 0, 0, 0, 0, 0, 0, 0, 75, 27, 232
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE\BLESerial.cpp", "C++", 0, 117, 0, 0, 0, 0, 0, 0, 0, 1, 16, 134
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE\BLESerial.h", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE\StrandtestBLE.ino", "C++", 0, 109, 0, 0, 0, 0, 0, 0, 0, 68, 16, 193
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE_nodelay\BLESerial.cpp", "C++", 0, 117, 0, 0, 0, 0, 0, 0, 0, 1, 16, 134
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE_nodelay\BLESerial.h", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE_nodelay\StrandtestBLE_nodelay.ino", "C++", 0, 127, 0, 0, 0, 0, 0, 0, 0, 54, 18, 199
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\buttoncycler\buttoncycler.ino", "C++", 0, 100, 0, 0, 0, 0, 0, 0, 0, 50, 15, 165
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\simple\simple.ino", "C++", 0, 22, 0, 0, 0, 0, 0, 0, 0, 16, 13, 51
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\simple_new_operator\simple_new_operator.ino", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 0, 28, 16, 68
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\strandtest\strandtest.ino", "C++", 0, 67, 0, 0, 0, 0, 0, 0, 0, 56, 21, 144
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\strandtest_nodelay\strandtest_nodelay.ino", "C++", 0, 129, 0, 0, 0, 0, 0, 0, 0, 41, 17, 187
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\strandtest_wheel\strandtest_wheel.ino", "C++", 0, 92, 0, 0, 0, 0, 0, 0, 0, 23, 20, 135
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\kendyte_k210.c", "C", 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 11, 75
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\library.properties", "Properties", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
