Date : 2023-10-01 09:29:30
Directory : c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu
Total : 642 files,  499221 codes, 101143 comments, 30508 blanks, all 630872 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C            |        123 |    374,372 |     50,293 |      5,942 |    430,607 |
| C++          |        498 |    123,552 |     50,698 |     24,368 |    198,618 |
| Python       |          1 |        411 |        128 |         28 |        567 |
| Markdown     |          8 |        390 |          0 |        136 |        526 |
| JSON         |          2 |        330 |          0 |          1 |        331 |
| Shell Script |          2 |         67 |         15 |          8 |         90 |
| Properties   |          6 |         57 |          0 |          7 |         64 |
| YAML         |          1 |         36 |          0 |         16 |         52 |
| Ini          |          1 |          6 |          9 |          2 |         17 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                        |        642 |    499,221 |    101,143 |     30,508 |    630,872 |
| . (Files)                                                                                                                                                                                |          1 |          6 |          9 |          2 |         17 |
| lib                                                                                                                                                                                      |        640 |    499,070 |    101,117 |     30,484 |    630,671 |
| lib\Adafruit_DMA_neopixel_library                                                                                                                                                        |          8 |      1,242 |        512 |        137 |      1,891 |
| lib\Adafruit_DMA_neopixel_library (Files)                                                                                                                                                |          6 |        800 |        351 |         99 |      1,250 |
| lib\Adafruit_DMA_neopixel_library\examples                                                                                                                                               |          1 |         31 |         33 |         10 |         74 |
| lib\Adafruit_DMA_neopixel_library\examples\strandtest                                                                                                                                    |          1 |         31 |         33 |         10 |         74 |
| lib\Adafruit_DMA_neopixel_library\extras                                                                                                                                                 |          1 |        411 |        128 |         28 |        567 |
| lib\Adafruit_NeoPixel                                                                                                                                                                    |         24 |      4,550 |      1,389 |        692 |      6,631 |
| lib\Adafruit_NeoPixel (Files)                                                                                                                                                            |          9 |      3,198 |        861 |        418 |      4,477 |
| lib\Adafruit_NeoPixel\examples                                                                                                                                                           |         15 |      1,352 |        528 |        274 |      2,154 |
| lib\Adafruit_NeoPixel\examples\RGBWstrandtest                                                                                                                                            |          1 |        108 |         39 |         31 |        178 |
| lib\Adafruit_NeoPixel\examples\StrandtestArduinoBLE                                                                                                                                      |          1 |        130 |         75 |         27 |        232 |
| lib\Adafruit_NeoPixel\examples\StrandtestArduinoBLECallback                                                                                                                              |          1 |        136 |         76 |         28 |        240 |
| lib\Adafruit_NeoPixel\examples\StrandtestBLE                                                                                                                                             |          3 |        263 |         69 |         42 |        374 |
| lib\Adafruit_NeoPixel\examples\StrandtestBLE_nodelay                                                                                                                                     |          3 |        281 |         55 |         44 |        380 |
| lib\Adafruit_NeoPixel\examples\buttoncycler                                                                                                                                              |          1 |        100 |         50 |         15 |        165 |
| lib\Adafruit_NeoPixel\examples\simple                                                                                                                                                    |          1 |         22 |         16 |         13 |         51 |
| lib\Adafruit_NeoPixel\examples\simple_new_operator                                                                                                                                       |          1 |         24 |         28 |         16 |         68 |
| lib\Adafruit_NeoPixel\examples\strandtest                                                                                                                                                |          1 |         67 |         56 |         21 |        144 |
| lib\Adafruit_NeoPixel\examples\strandtest_nodelay                                                                                                                                        |          1 |        129 |         41 |         17 |        187 |
| lib\Adafruit_NeoPixel\examples\strandtest_wheel                                                                                                                                          |          1 |         92 |         23 |         20 |        135 |
| lib\Blinker                                                                                                                                                                              |        400 |     72,483 |     24,267 |     20,171 |    116,921 |
| lib\Blinker (Files)                                                                                                                                                                      |          5 |        160 |          0 |         40 |        200 |
| lib\Blinker\examples                                                                                                                                                                     |         87 |      5,288 |      4,471 |      1,760 |     11,519 |
| lib\Blinker\examples\Blinker_AT_Firmware                                                                                                                                                 |          1 |         10 |         44 |          4 |         58 |
| lib\Blinker\examples\Blinker_AT_Firmware\AT_Firmware_WiFi                                                                                                                                |          1 |         10 |         44 |          4 |         58 |
| lib\Blinker\examples\Blinker_ArduinoJson                                                                                                                                                 |          1 |         43 |         44 |         17 |        104 |
| lib\Blinker\examples\Blinker_ArduinoJson\ArduinoJson_WiFi                                                                                                                                |          1 |         43 |         44 |         17 |        104 |
| lib\Blinker\examples\Blinker_Bridge                                                                                                                                                      |          1 |         29 |         45 |         14 |         88 |
| lib\Blinker\examples\Blinker_Bridge\Bridge_WiFi                                                                                                                                          |          1 |         29 |         45 |         14 |         88 |
| lib\Blinker\examples\Blinker_Cloud                                                                                                                                                       |          7 |        225 |        315 |         90 |        630 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_CLOUDDATA                                                                                                                                     |          1 |         32 |         44 |         13 |         89 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_CLOUDDATA\CLOUDDATA_WiFi                                                                                                                      |          1 |         32 |         44 |         13 |         89 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_Coordinate                                                                                                                                    |          1 |         34 |         44 |         14 |         92 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_Coordinate\Coordinate_WiFi                                                                                                                    |          1 |         34 |         44 |         14 |         92 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage                                                                                                                                   |          3 |         92 |        133 |         36 |        261 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage\Blinker_ConfigData                                                                                                                |          1 |         35 |         45 |         13 |         93 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage\Blinker_TextData                                                                                                                  |          1 |         25 |         44 |         11 |         80 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage\Blinker_TimeSlotData                                                                                                              |          1 |         32 |         44 |         12 |         88 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_GPSData                                                                                                                                       |          1 |         33 |         50 |         13 |         96 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_GPSData\GPSData_WiFi                                                                                                                          |          1 |         33 |         50 |         13 |         96 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_LOG                                                                                                                                           |          1 |         34 |         44 |         14 |         92 |
| lib\Blinker\examples\Blinker_Cloud\Blinker_LOG\LOG_WiFi                                                                                                                                  |          1 |         34 |         44 |         14 |         92 |
| lib\Blinker\examples\Blinker_ESP32_CAM                                                                                                                                                   |          2 |        238 |         65 |         43 |        346 |
| lib\Blinker\examples\Blinker_Hello                                                                                                                                                       |          4 |        136 |        194 |         49 |        379 |
| lib\Blinker\examples\Blinker_Hello\Blinker_HTTP                                                                                                                                          |          1 |         39 |         50 |         14 |        103 |
| lib\Blinker\examples\Blinker_Hello\Hello_BLE                                                                                                                                             |          1 |         30 |         44 |         11 |         85 |
| lib\Blinker\examples\Blinker_Hello\Hello_WiFi                                                                                                                                            |          1 |         33 |         50 |         12 |         95 |
| lib\Blinker\examples\Blinker_Hello\Hello_WiFi_Without_SSL                                                                                                                                |          1 |         34 |         50 |         12 |         96 |
| lib\Blinker\examples\Blinker_MQTT                                                                                                                                                        |          1 |         38 |         50 |         13 |        101 |
| lib\Blinker\examples\Blinker_MQTT\MQTT_PUB                                                                                                                                               |          1 |         38 |         50 |         13 |        101 |
| lib\Blinker\examples\Blinker_PRO                                                                                                                                                         |         10 |        710 |        852 |        229 |      1,791 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_AIR202                                                                                                                                      |          1 |         57 |         87 |         19 |        163 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Change_Server                                                                                                                               |          1 |         74 |         76 |         24 |        174 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_ESP                                                                                                                                         |          1 |         72 |         76 |         22 |        170 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_ESP_APCONFIG                                                                                                                                |          1 |         73 |         86 |         23 |        182 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Event                                                                                                                                       |          3 |        216 |        258 |         69 |        543 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Event\Event_Error                                                                                                                           |          1 |         72 |         86 |         23 |        181 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Event\Event_Message                                                                                                                         |          1 |         72 |         86 |         23 |        181 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Event\Event_Warning                                                                                                                         |          1 |         72 |         86 |         23 |        181 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_OTA                                                                                                                                         |          1 |         74 |         85 |         26 |        185 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_OTA\OTA_PRO                                                                                                                                 |          1 |         74 |         85 |         26 |        185 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_SIM7020                                                                                                                                     |          1 |         57 |         87 |         19 |        163 |
| lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Wlan_Config                                                                                                                                 |          1 |         87 |         97 |         27 |        211 |
| lib\Blinker\examples\Blinker_PRO_Device                                                                                                                                                  |          1 |         94 |         86 |         29 |        209 |
| lib\Blinker\examples\Blinker_PRO_Device\Blinker_PRO_Plug                                                                                                                                 |          1 |         94 |         86 |         29 |        209 |
| lib\Blinker\examples\Blinker_RT_DATA                                                                                                                                                     |          1 |         33 |         44 |         12 |         89 |
| lib\Blinker\examples\Blinker_Sensor                                                                                                                                                      |          3 |        151 |        142 |         67 |        360 |
| lib\Blinker\examples\Blinker_Sensor\Blinker_BMP180                                                                                                                                       |          1 |         42 |         46 |         16 |        104 |
| lib\Blinker\examples\Blinker_Sensor\Blinker_BMP180\BMP180_WiFi                                                                                                                           |          1 |         42 |         46 |         16 |        104 |
| lib\Blinker\examples\Blinker_Sensor\Blinker_DHT                                                                                                                                          |          2 |        109 |         96 |         51 |        256 |
| lib\Blinker\examples\Blinker_Sensor\Blinker_DHT\DHT_BLE                                                                                                                                  |          1 |         53 |         48 |         25 |        126 |
| lib\Blinker\examples\Blinker_Sensor\Blinker_DHT\DHT_WiFi                                                                                                                                 |          1 |         56 |         48 |         26 |        130 |
| lib\Blinker\examples\Blinker_Voice_Assistant                                                                                                                                             |         18 |      2,127 |        894 |        616 |      3,637 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie                                                                                                                            |          6 |        771 |        287 |        206 |      1,264 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_AIRCONDITION                                                                                                      |          1 |        145 |         50 |         44 |        239 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_FAN                                                                                                               |          1 |        126 |         47 |         38 |        211 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_LIGHT                                                                                                             |          1 |        314 |         58 |         67 |        439 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_MULTI_OUTLET                                                                                                      |          1 |         73 |         44 |         22 |        139 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_OUTLET                                                                                                            |          1 |         66 |         44 |         21 |        131 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_SENSOR                                                                                                            |          1 |         47 |         44 |         14 |        105 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS                                                                                                                              |          6 |        693 |        320 |        218 |      1,231 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_AIRCONDITION                                                                                                          |          1 |        142 |         62 |         47 |        251 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_FAN                                                                                                                   |          1 |        121 |         63 |         41 |        225 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_LIGHT                                                                                                                 |          1 |        209 |         60 |         64 |        333 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_MULTI_OUTLET                                                                                                          |          1 |         51 |         44 |         20 |        115 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_OUTLET                                                                                                                |          1 |         91 |         47 |         32 |        170 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_SENSOR                                                                                                                |          1 |         79 |         44 |         14 |        137 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT                                                                                                                                |          6 |        663 |        287 |        192 |      1,142 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_AIRCONDITION                                                                                                              |          1 |        158 |         55 |         43 |        256 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_FAN                                                                                                                       |          1 |        117 |         47 |         36 |        200 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_LIGHT                                                                                                                     |          1 |        200 |         53 |         56 |        309 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_MULTI_OUTLET                                                                                                              |          1 |         73 |         44 |         22 |        139 |
